id,created_at,text
866861327205191680,2017-05-23 03:40:20,Rising with #renewable #energy: How can energy storage tech help in delivering successful re/insurance solutions? https://t.co/tKta6F8R8L
866660328960143360,2017-05-22 14:21:38,How much does it cost to support a senior in the US and other developed countries? #AgeingWallet https://t.co/BRILG6XC0O
866632267803897856,2017-05-22 12:30:08,What's the secret to retaining top employees in insurance? #insurancecareers https://t.co/a5S038xzUw
866456025200832512,2017-05-22 00:49:49,"RT @MarkBonthrone: The #NFIP is up for reauthorization this year. Check out some staggering #flood facts in a @SwissRe Open Minds blog

htt…"
866449450184695808,2017-05-22 00:23:41,RT @Thebhid: And the winners of the @SwissRe challenge are BIMA and autocontract.io  #consensus2017 https://t.co/6KpHJ2i6X7
866085807286886400,2017-05-21 00:18:42,RT @IBMBlockchain: Innovative hackathon challenge presented by the @SwissRe team: #blockchain for micro insurance to farmers in #Africa. #c…
865922639847718912,2017-05-20 13:30:20,Riding out the drought: Can #blockchain give African farmers more affordable #insurance w. fast payouts?… https://t.co/HFzyQWlFB4
865921900601643008,2017-05-20 13:27:23,RT @ppagniez: Kicking off #blockchain #hackathon challenge @ #Consensus2017 focused on insurance for farmers. Watch: https://t.co/tH6qmXKcI…
865637379398180865,2017-05-19 18:36:48,"RT @MarkBonthrone: This week I worked on #hurricane, #flood &amp; #behaviroaleconomics. Sound interesting? https://t.co/wcBYMxlokm
#CareerTrife…"
865632873486761987,2017-05-19 18:18:54,Our #blockchain #hackathon challenge at #Consensus2017 tmrw focuses on insurance for farmers &amp; food security. Watch… https://t.co/kHNwlPt1pU
865609299640295426,2017-05-19 16:45:13,Your brainpower needed! Can #blockchain give African farmers more affordable #insurance? https://t.co/OE4un4mugl… https://t.co/5GaeEZQqQK
865536518403665921,2017-05-19 11:56:01,"RT @SallyAnneEtienn: New health challenges, new solutions. @SwissRe and partners working together to help close the protection gap https://…"
865534672943456261,2017-05-19 11:48:41,RT @ICSNederland: Check out the #consensus2017 #hackathon this w/e. We partner w. @SwissRe to look for #blockchain insurance solutions for…
865505210612858880,2017-05-19 09:51:37,RT @artemisbm: .@SwissRe in Taiwan parametric aquaculture insurance first https://t.co/KwGkkk7F5f #insurance #reinsurance
865505093952577536,2017-05-19 09:51:09,RT @intelligentins: Swiss Re enters aquaculture insurance partnership with Taiwan Fire &amp; Marine https://t.co/GGl3c9PnF5 @SwissRe #aquacultu…
865505064634339328,2017-05-19 09:51:02,RT @agrics_ea: Check out the #consensus2017 #hackathon this w/e. We partner w. @SwissRe to look for #blockchain insurance solutions for Afr…
865477049506385927,2017-05-19 07:59:43,"RT @remosteinmetz: Swiss Re was ranked as 10th most valuable brand in Switzerland - cool for such little visible, non-consumer company…http…"
865226467269120000,2017-05-18 15:23:59,Boosting global #resilience relies on reaching new markets &amp; people. Check out our ideas  @#consensus2017 this w/e: https://t.co/1tvxmpJMKZ
865205672870326272,2017-05-18 14:01:21,RT @RonWheatcroft: Looking forward to talking about @swissre #GroupWatch17 report with the group risk market experts at GRID's AGM later th…
865188093720178688,2017-05-18 12:51:30,RT @sapforinsurance: Thanks to @SwissRe for sharing your vision on finance transformation at #SAPPHIRENOW.  https://t.co/O6pww9qjv6 #insura…
865062945432244224,2017-05-18 04:34:12,RT @MaxMesservy: Interesting use of parametric #insurance by @SwissRe: protecting Taiwan fish farms from extreme rainfall @artemisbm https:…
865062813311610880,2017-05-18 04:33:41,RT @oasis_hub: RT @oasislmf: Why #earthquake proofing a building is bad for #insurance https://t.co/XsOo637Opz @SwissRe https://t.co/UWAxGm…
865029854038806528,2017-05-18 02:22:43,RT @MarkBonthrone: Check out my @Swissre colleague telling the BBC about an innovative way to increase #resilience to disasters  https://t.…
864743806482223104,2017-05-17 07:26:04,"RT @ReinsurerHuerta: Most people wouldn't cancel their health insurance because they exercise, why is there a conflict between retrofitting…"
864743633492336640,2017-05-17 07:25:23,RT @dkhairat: Taiwan: Fish farmers get parametric aquaculture insurance https://t.co/xhtq8ynwfZ @swissre
864743572930744321,2017-05-17 07:25:08,RT @ClarkLuby_SRCS: Great news! Innovative Solutions such as these are what differentiates us from the rest. https://t.co/argnYtP3Ww
864467017247719424,2017-05-16 13:06:12,RT @SwissRe_GP: BBC Future on resilience-bonds: This kind of incentive won't come  a moment too soon! .@SwissRe quoted .@BBC https://t.co/y…
864381582798454784,2017-05-16 07:26:43,RT @eatmyhandbag: First so called parametric aquaculture #insurance solution covering fish farmers in #Taiwan https://t.co/c6nmbn7d2h
864379698972905473,2017-05-16 07:19:14,RT @BerndWilke1: US$ 1 trillion in #flood insurance cover only 15% of all insured. Is this enough? #100resilientcities https://t.co/W4SuNUH…
864206795312697347,2017-05-15 19:52:10,Check out a blog on why the term #earthquake proof could be giving consumers a false sense of security  https://t.co/4recUcCyR7   #insurance
864030701699682306,2017-05-15 08:12:26,RT @solarimpulse: Great job @SwissRE! 🍃💬☀️ #RE100 #futureisclean https://t.co/uxNYJSjTya
864016482061168641,2017-05-15 07:15:56,RT @AltingerLaura: Innovative #insurance against #climaterisk #AsiaPacific uses meteorological data for faster payout to fish farmers #Taiw…
863953916463120384,2017-05-15 03:07:19,@SwissRe introduces 1st parametric #aquaculture #insurance solution in Taiwan to protect grouper fish ponds.… https://t.co/AESHAcZamn
863953310860095488,2017-05-15 03:04:55,"@SwissRe #aquaculture #insurance will protect 25mil kg of groupers annually, making fisheries more resilient… https://t.co/nYqW3d62J0"
862740979178233856,2017-05-11 18:47:33,Great to see so many recognized at IICF Inclusion Champion Awards including @SwissRe's  Sylvain Bouteille https://t.co/Oc5z1I72XZ @doubleicf
862666260861128704,2017-05-11 13:50:38,RT @MoritzBS: Unveiling the full potential of telematics https://t.co/GwBmE1ePTP via @SwissRe https://t.co/1dwOT1Gbs1
862621377538469889,2017-05-11 10:52:17,RT @danind5: See the @SwissRe team joining @joBerg2c_ 900km mountain bike experience in beautiful South Africa. https://t.co/Eo79kmQlfD
862307215130202112,2017-05-10 14:03:55,RT @SwissRe_GP: #Scalable solutions: Tool to make two million #rice-farmers more #climate #resilient https://t.co/OnEDIhspol #WEF #asean17…
862306997869346816,2017-05-10 14:03:03,RT @Nick__Howe: Society / state pays 58% of UK cost currently of our elderly population according to @SwissRe #open4i https://t.co/Sgr9iWXj…
862285577105833988,2017-05-10 12:37:56,RT @theRE100: Inspired! We love this time lapse video of @SwissRe's solar plant construction in the US https://t.co/BHfDiDkhAq #RE100 @Clim…
862212522459496449,2017-05-10 07:47:39,RT @TheGenevaAssoc: Insurers can play a larger role for Asia's ageing population https://t.co/Hb65DOEUCV @AIReDaily
862200728466706432,2017-05-10 07:00:47,RT @JacobsonGroup: RT @SwissRe: SwissRe colleagues explain why they are #InsuranceProud: https://t.co/LDA9pC6Ci6 #CareerTrifecta #TalentTue…
862200655582306304,2017-05-10 07:00:29,RT @DelRayMan: Wait. Did this blockchain app built with 15 global reinsurers just make insurance interesting? https://t.co/nK9aO6tdPF @Swis…
862200443967066113,2017-05-10 06:59:39,RT @Russell_Higg: Record number of care homes declared insolvent - demand is increasing but supply is decreasing = problem @SwissRe https:/…
862200285237829633,2017-05-10 06:59:01,How can public-priv. partnerships close NatCat protection gap in EU? Join @SwissRe event Brussels 29 Jun #insurance… https://t.co/gWMMZfVlsZ
862117063334264832,2017-05-10 01:28:19,RT @MarkBonthrone: What can a career in #insurance offer? Check out this short video!  #CareerTrifecta #TalentTuesday #reinsurance  https:/…
861904790183436288,2017-05-09 11:24:50,RT @SwissRe_GP: Making #farming &amp; #foodsecurity more #climate-resilient in #Asia? How can insurance help? #wef #asean17 .@SwissRe https://t…
861904770604433409,2017-05-09 11:24:45,RT @TheGenevaAssoc: @KurtEKarl on the positive impact of #technology &amp; #innovation for #insurance https://t.co/ussijqJDKY @SwissRe https://…
861904681001521152,2017-05-09 11:24:24,RT @BerndWilke1: #solar plant at @SwissRe goes up fast #cleanenergy #futureisclean #RE100 https://t.co/5ERAAYCvWA
861865509851201536,2017-05-09 08:48:44,RT @SallyAnneEtienn: I am very fortunate to work for an employer who does not think depression is a workplace taboo...what about you? https…
861855123982741504,2017-05-09 08:07:28,"RT @insurtechnews: Deep dive on #telematics
#insurtech
@SpirosMargaris @nigelwalsh @ipfconline1 @FGraillot @pgc_at_work @mr_insurtech @Mike…"
861853724372815873,2017-05-09 08:01:55,"RT @MikeQuindazzi: In Q416, #ArtificialIntelligence saw a 16% increase in dollars invested ($705M) across 71 deals (up 22%) vs Q3. #AI http…"
861852167136739328,2017-05-09 07:55:43,#Telematics is a door opener for other connected #insurance opportunities. Check out our report:… https://t.co/BrId4X7bdM
861850911211126784,2017-05-09 07:50:44,RT @mjanczewski: #Telematics: How #connected #insurance brings value to insurers  &amp; consumers: An Italian case study via @SwissRe -&gt; https:…
861850754675494912,2017-05-09 07:50:06,"Ageing societies bring considerable challenges, not least who pays for ageing? https://t.co/LhA2bRDl7v #ageingwallet https://t.co/SPiHwYA0pn"
861566395435425794,2017-05-08 13:00:10,RT @wef: 3 ways to make rich #Africa work for poor Africans https://t.co/CEFvO2Nqhx #af17 https://t.co/31PT80z0q8
861561213435744256,2017-05-08 12:39:34,"RT @SpirosMargaris: Almost half of #Scottish #jobs under threat by #automation, report says 

https://t.co/TdSeHps3uD #fintech @TechCityNew…"
861560866977853441,2017-05-08 12:38:12,"If you haven't already done so, make sure you check out our new publication on #telematics &amp; the benefits to both c… https://t.co/YJ1nmsihv7"
861558626342883328,2017-05-08 12:29:18,RT @joschennell: Find out how #insurance can radically improve #emergencyaid - new report by Centre for Global Development .@SwissRe https:…
861506920829644800,2017-05-08 09:03:50,RT @IIS_INFO: #Insurance has been used to pre-fund drought relief in Kenya https://t.co/vA4asv0eTq via @wef @SwissRe
861307904816807936,2017-05-07 19:53:01,RT @abockelm: Further evidence that #telematics is reducing claims frequency which should lead to lower premiums. https://t.co/GMrWFT1HNN
860491233369706496,2017-05-05 13:47:51,RT @myrtabarell: How connected insurance brings value to insurers and consumers: An Italian case study #telematics  https://t.co/SFWZhu8zvF
860489752415481856,2017-05-05 13:41:58,RT @myrtabarell: Would you prefer an employer who enables working from home? @swissre #greatemployer https://t.co/RuccMPtaIm
